Stream,Physics,Chemistry,Biology,English,ComputerScience,Mathematics,Accountancy,BusinessStudies,Economics,History,Geography,PoliticalScience,Sociology,Interest_Tech,Interest_Entrepreneurship,Interest_Leadership,Interest_Innovation,Interest_CriticalThinking,Interest_Research,Interest_ComputerSkill,Interest_HardwareSkill,Interest_Food,Interest_Creativity,PositiveThinking,Participated_Hackathon,Participated_Olympiad,Participated_Kabaddi,Participated_KhoKho,Participated_Cricket,CareerOption
Science_PCM,80,71,,68,66,86,,,,,,,,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,Teacher
Arts,,,,71,,,,,,58,80,65,82,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,Scientist
Commerce,,,,94,,66,57,81,70,,,,,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,Chartered Accountant
Arts,,,,63,,,,,,73,73,54,56,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,Doctor
Arts,,,,100,,,,,,64,65,54,74,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,Politician
Arts,,,,99,,,,,,90,64,73,57,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,Politician
Arts,,,,95,,,,,,91,62,86,71,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,Artist
Arts,,,,60,,,,,,69,86,83,68,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,Teacher
Arts,,,,98,,,,,,98,100,96,87,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,Artist
Science_PCB,95,95,67,64,59,,,,,,,,,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,Teacher
Science_PCB,71,65,60,97,85,,,,,,,,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,Artist
Science_PCB,69,79,94,68,95,,,,,,,,,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,Scientist
Science_PCM,84,58,,71,51,80,,,,,,,,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,Artist
Commerce,,,,68,,55,77,90,64,,,,,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,Politician
Arts,,,,74,,,,,,60,87,81,86,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,Software Developer
Arts,,,,70,,,,,,65,58,95,64,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,Teacher
Arts,,,,56,,,,,,85,88,55,97,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,Software Developer
Science_PCB,87,67,56,83,57,,,,,,,,,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,Software Developer
Science_PCM,96,97,,52,96,74,,,,,,,,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,Artist
Arts,,,,90,,,,,,70,63,75,98,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,Software Developer
Commerce,,,,61,,60,77,56,85,,,,,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,Engineer
Science_PCB,84,85,65,89,69,,,,,,,,,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,Software Developer
Commerce,,,,83,,90,97,87,53,,,,,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,Scientist
Science_PCM,93,83,,97,54,66,,,,,,,,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,Software Developer
Science_PCM,69,55,,77,69,51,,,,,,,,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,Politician
Commerce,,,,51,,63,94,69,73,,,,,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,Scientist
Science_PCB,55,73,80,90,65,,,,,,,,,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,Scientist
Arts,,,,77,,,,,,60,59,57,93,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,Scientist
Science_PCB,66,75,99,78,54,,,,,,,,,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,1,Entrepreneur
Science_PCM,83,92,,70,73,67,,,,,,,,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,Doctor
Arts,,,,71,,,,,,87,75,81,52,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,Politician
Science_PCM,90,55,,82,55,79,,,,,,,,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,Teacher
Arts,,,,99,,,,,,88,82,91,100,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,Scientist
Science_PCM,98,51,,77,62,87,,,,,,,,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,Chartered Accountant
Arts,,,,74,,,,,,76,51,69,83,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,Entrepreneur
Arts,,,,79,,,,,,79,60,100,73,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,Doctor
Arts,,,,51,,,,,,93,64,66,99,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,Scientist
Commerce,,,,56,,61,56,97,75,,,,,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,Scientist
Science_PCB,68,90,92,76,65,,,,,,,,,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,Artist
Arts,,,,76,,,,,,55,64,64,82,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,Engineer
Commerce,,,,61,,85,79,89,92,,,,,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,Politician
Commerce,,,,76,,64,50,89,79,,,,,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,Politician
Commerce,,,,92,,66,51,55,64,,,,,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,Engineer
Arts,,,,51,,,,,,63,61,56,74,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,Software Developer
Science_PCM,80,71,,92,67,50,,,,,,,,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,Doctor
Science_PCM,65,92,,93,89,80,,,,,,,,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,Artist
Arts,,,,97,,,,,,92,99,74,57,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,Scientist
Commerce,,,,89,,50,72,56,91,,,,,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,Software Developer
Science_PCM,55,89,,93,71,74,,,,,,,,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,Artist
Commerce,,,,84,,73,51,92,52,,,,,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,Teacher
Science_PCM,68,89,,94,77,85,,,,,,,,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,0,Engineer
Commerce,,,,53,,54,53,78,58,,,,,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,Athlete
Arts,,,,61,,,,,,51,84,100,70,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,Teacher
Science_PCM,86,66,,99,65,83,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,Engineer
Arts,,,,80,,,,,,69,83,62,82,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,Athlete
Science_PCB,56,69,64,78,97,,,,,,,,,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,Doctor
Science_PCM,52,59,,81,88,90,,,,,,,,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,Artist
Arts,,,,68,,,,,,93,91,96,89,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,Teacher
Commerce,,,,69,,64,83,53,70,,,,,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,Politician
Commerce,,,,55,,71,64,59,89,,,,,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,Doctor
Science_PCM,83,66,,89,62,96,,,,,,,,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,Artist
Science_PCM,68,87,,90,86,53,,,,,,,,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,Engineer
Arts,,,,68,,,,,,54,54,91,57,0,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1,Engineer
Science_PCB,64,68,53,68,60,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,Doctor
Commerce,,,,80,,73,56,75,65,,,,,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,Engineer
Commerce,,,,73,,56,50,76,98,,,,,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,Scientist
Science_PCM,92,72,,65,58,100,,,,,,,,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,Artist
Science_PCM,86,85,,68,64,93,,,,,,,,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,Teacher
Arts,,,,76,,,,,,61,100,91,77,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,Engineer
Science_PCM,96,64,,97,95,78,,,,,,,,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,Teacher
Science_PCM,83,95,,76,56,68,,,,,,,,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,Politician
Commerce,,,,69,,76,87,51,90,,,,,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,Athlete
Commerce,,,,87,,52,57,74,89,,,,,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,Teacher
Science_PCM,86,63,,81,89,67,,,,,,,,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,Chartered Accountant
Science_PCM,71,68,,94,74,59,,,,,,,,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,Entrepreneur
Commerce,,,,78,,75,64,72,58,,,,,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,Artist
Science_PCM,55,58,,96,93,99,,,,,,,,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,Teacher
Science_PCB,92,85,56,50,64,,,,,,,,,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,Teacher
Commerce,,,,53,,74,88,79,90,,,,,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,Software Developer
Science_PCM,99,69,,53,51,53,,,,,,,,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,Engineer
Science_PCM,82,75,,99,79,74,,,,,,,,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,Scientist
Commerce,,,,74,,71,78,78,60,,,,,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,Artist
Science_PCM,70,55,,90,78,89,,,,,,,,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,Artist
Arts,,,,96,,,,,,54,96,84,85,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,Artist
Commerce,,,,76,,56,100,78,95,,,,,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,Chartered Accountant
Commerce,,,,63,,95,54,86,53,,,,,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,Teacher
Commerce,,,,83,,79,56,52,56,,,,,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,Engineer
Science_PCB,75,70,98,70,64,,,,,,,,,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,Doctor
Commerce,,,,58,,50,54,79,96,,,,,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,Engineer
Commerce,,,,96,,92,96,72,95,,,,,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,Athlete
Commerce,,,,61,,62,51,67,73,,,,,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,Software Developer
Commerce,,,,77,,80,81,70,60,,,,,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,Software Developer
Arts,,,,76,,,,,,69,87,94,50,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,Artist
Science_PCB,61,83,72,58,59,,,,,,,,,1,1,1,0,0,0,0,0,1,1,1,0,1,0,1,1,Scientist
Arts,,,,77,,,,,,75,62,86,87,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,Engineer
Science_PCB,51,71,100,70,93,,,,,,,,,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,Artist
Science_PCM,98,70,,53,99,62,,,,,,,,1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,Scientist
Commerce,,,,69,,64,67,90,98,,,,,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,Teacher
Arts,,,,97,,,,,,69,51,71,71,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,Entrepreneur
Commerce,,,,100,,77,55,97,63,,,,,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,Scientist
Science_PCM,60,78,,70,77,69,,,,,,,,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,Teacher
Arts,,,,59,,,,,,59,64,77,66,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,Doctor
Science_PCB,64,79,96,76,92,,,,,,,,,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,Artist
Science_PCM,54,59,,60,61,90,,,,,,,,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,Athlete
Science_PCB,52,50,99,76,78,,,,,,,,,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,Scientist
Arts,,,,93,,,,,,53,51,87,66,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,Chartered Accountant
Commerce,,,,87,,88,78,75,84,,,,,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,Scientist
Arts,,,,99,,,,,,100,88,58,73,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,Artist
Science_PCB,88,57,56,54,70,,,,,,,,,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,Scientist
Arts,,,,60,,,,,,76,62,93,73,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,Artist
Commerce,,,,92,,87,85,87,60,,,,,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,Teacher
Arts,,,,67,,,,,,50,94,63,97,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,Engineer
Commerce,,,,62,,99,82,86,60,,,,,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,Engineer
Commerce,,,,71,,58,60,95,83,,,,,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,Artist
Science_PCM,77,59,,95,77,95,,,,,,,,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,Chartered Accountant
Arts,,,,78,,,,,,67,71,86,55,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,Politician
Science_PCB,50,90,63,76,51,,,,,,,,,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,Teacher
Commerce,,,,61,,87,60,55,87,,,,,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,Entrepreneur
Commerce,,,,70,,67,97,66,53,,,,,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,Artist
Arts,,,,87,,,,,,52,92,84,94,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,Engineer
Arts,,,,82,,,,,,53,72,90,89,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,Teacher
Arts,,,,80,,,,,,88,97,86,89,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,Athlete
Arts,,,,58,,,,,,65,52,98,69,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,Scientist
Commerce,,,,81,,68,68,52,59,,,,,1,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,Engineer
Arts,,,,93,,,,,,90,99,91,60,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,Teacher
Science_PCM,94,64,,83,89,100,,,,,,,,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,Teacher
Science_PCM,67,65,,63,95,63,,,,,,,,1,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,Entrepreneur
Arts,,,,70,,,,,,74,84,84,64,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,Artist
Arts,,,,81,,,,,,65,70,97,75,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Athlete
Science_PCM,50,71,,85,99,81,,,,,,,,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,Doctor
Science_PCB,86,56,79,80,83,,,,,,,,,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,Artist
Commerce,,,,85,,90,51,87,85,,,,,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,Artist
Commerce,,,,89,,56,71,71,81,,,,,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,Engineer
Commerce,,,,56,,92,62,64,97,,,,,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,Entrepreneur
Science_PCM,87,60,,62,52,77,,,,,,,,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,Chartered Accountant
Science_PCB,67,92,63,53,79,,,,,,,,,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,Politician
Science_PCB,66,93,54,55,69,,,,,,,,,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,Entrepreneur
Arts,,,,92,,,,,,76,66,74,81,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,Athlete
Commerce,,,,75,,82,96,69,65,,,,,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,Doctor
Science_PCB,64,85,56,94,98,,,,,,,,,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,Athlete
Commerce,,,,87,,64,70,95,66,,,,,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,Software Developer
Commerce,,,,77,,80,52,53,54,,,,,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,Athlete
Arts,,,,98,,,,,,69,54,97,76,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,Engineer
Science_PCB,96,100,52,54,99,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Scientist
Science_PCM,63,72,,99,81,89,,,,,,,,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,Entrepreneur
Science_PCM,75,82,,92,96,67,,,,,,,,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,Politician
Commerce,,,,87,,70,73,81,100,,,,,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,Entrepreneur
Science_PCB,70,70,80,89,80,,,,,,,,,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,Athlete
Commerce,,,,90,,58,54,55,50,,,,,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,Athlete
Science_PCM,63,66,,80,51,70,,,,,,,,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,Teacher
Science_PCB,93,74,66,81,63,,,,,,,,,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,Entrepreneur
Commerce,,,,82,,83,79,68,74,,,,,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,Engineer
Science_PCB,77,95,65,60,52,,,,,,,,,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,Teacher
Commerce,,,,89,,50,67,83,81,,,,,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,Teacher
Arts,,,,77,,,,,,57,75,91,58,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,Athlete
Science_PCB,63,77,75,64,53,,,,,,,,,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,Doctor
Commerce,,,,65,,64,98,62,65,,,,,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,Athlete
Arts,,,,64,,,,,,56,67,59,76,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,Engineer
Science_PCB,84,53,83,98,85,,,,,,,,,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,Athlete
Commerce,,,,57,,51,76,82,80,,,,,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,Politician
Science_PCM,99,66,,71,65,66,,,,,,,,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,Artist
Science_PCB,96,100,85,97,73,,,,,,,,,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,0,Athlete
Commerce,,,,67,,97,95,79,94,,,,,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,Doctor
Arts,,,,85,,,,,,82,54,75,90,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,Artist
Commerce,,,,96,,82,62,68,56,,,,,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,Doctor
Science_PCM,78,72,,85,71,67,,,,,,,,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,Engineer
Commerce,,,,93,,76,65,79,86,,,,,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,Athlete
Science_PCB,72,76,84,67,56,,,,,,,,,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,Scientist
Science_PCM,77,90,,92,53,97,,,,,,,,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,Scientist
Arts,,,,51,,,,,,53,52,84,75,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,Entrepreneur
Science_PCM,59,67,,73,90,92,,,,,,,,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,Teacher
Commerce,,,,75,,59,58,95,64,,,,,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,Artist
Commerce,,,,92,,50,52,74,79,,,,,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,Chartered Accountant
Science_PCM,65,55,,78,68,61,,,,,,,,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,Chartered Accountant
Commerce,,,,66,,53,76,60,80,,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,Teacher
Science_PCB,78,55,86,66,71,,,,,,,,,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,Entrepreneur
Arts,,,,59,,,,,,95,68,85,62,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,Chartered Accountant
Science_PCB,63,86,87,59,85,,,,,,,,,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,Scientist
Science_PCB,53,85,55,94,55,,,,,,,,,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,Doctor
Commerce,,,,59,,75,88,74,53,,,,,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,Politician
Science_PCB,88,60,93,58,67,,,,,,,,,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,Artist
Science_PCB,91,69,100,50,86,,,,,,,,,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,Politician
Commerce,,,,72,,53,88,84,94,,,,,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,Doctor
Science_PCB,65,72,51,50,76,,,,,,,,,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,Engineer
